"ID","Label","Level","Implement"
"_5","5 System Requirements Sp...","1","FALSE"
"_5.1","5.1 Modification History","2","FALSE"
"_5.1_BrLeft_2_BrRight_","5.1[2]","2","FALSE"
"_5.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","5.1[2].[t]*","3","FALSE"
"_5.2","5.2 Table of Contents","2","FALSE"
"_5.3","5.3 Introduction","2","FALSE"
"_5.3.1","5.3.1 Scope and Purpose","3","FALSE"
"_5.3.1.1","5.3.1.1 This document defines ...","4","FALSE"
"_5.3.1.2","5.3.1.2 Each procedure is defi...","4","TRUE"
"_5.3.1.3","5.3.1.3 In case the condition(...","4","TRUE"
"_5.3.1.3.1","5.3.1.3.1 Note: Such a mode tran...","5","FALSE"
"_5.3.1.4","5.3.1.4 National operation rul...","4","TRUE"
"_5.3.2","5.3.2 Definitions","3","FALSE"
"_5.3.2.1","5.3.2.1 Procedures","4","TRUE"
"_5.3.2.1_BrLeft_2_BrRight_","5.3.2.1[2] A procedure defines th...","4","FALSE"
"_5.3.2.2","5.3.2.2 Entities","4","TRUE"
"_5.3.2.2_BrLeft_2_BrRight_","5.3.2.2[2] The procedures define ...","4","TRUE"
"_5.3.2.3","5.3.2.3 States","4","TRUE"
"_5.3.2.3_BrLeft_2_BrRight_","5.3.2.3[2] States are situations ...","4","TRUE"
"_5.3.2.3_BrLeft_3_BrRight_","5.3.2.3[3] Note 1: one mode of op...","4","FALSE"
"_5.3.2.3_BrLeft_4_BrRight_","5.3.2.3[4] Note 2: A new state is...","4","FALSE"
"_5.3.2.4","5.3.2.4 Transitions","4","TRUE"
"_5.3.2.4_BrLeft_2_BrRight_","5.3.2.4[2] Transitions define the...","4","TRUE"
"_5.4","5.4 Procedure Start of mis...","2","FALSE"
"_5.4.1","5.4.1 Introduction","3","FALSE"
"_5.4.1.1","5.4.1.1 The driver may have to...","4","TRUE"
"_5.4.1.1.a","5.4.1.1.a Once the train is awak...","5","TRUE"
"_5.4.1.1.b","5.4.1.1.b Once shunting movement...","5","TRUE"
"_5.4.1.1.c","5.4.1.1.c Once a mission is ende...","5","TRUE"
"_5.4.1.1.d","5.4.1.1.d Once a slave engine be...","5","TRUE"
"_5.4.1.2","5.4.1.2 The common point of al...","4","TRUE"
"_5.4.1.3","5.4.1.3 Once the ERTMS/ETCS on...","4","TRUE"
"_5.4.2","5.4.2 Status of data stored ...","3","FALSE"
"_5.4.2.1","5.4.2.1 At the beginning of th...","4","TRUE"
"_5.4.2.1.a","5.4.2.1.a “valid” (the stored va...","5","TRUE"
"_5.4.2.1.b","5.4.2.1.b “Invalid” (the stored ...","5","TRUE"
"_5.4.2.1.c","5.4.2.1.c “Unknown” (no stored v...","5","TRUE"
"_5.4.2.2","5.4.2.2 This refers to the fol...","4","TRUE"
"_5.4.2.3","5.4.2.3 Note 1:  The status of...","4","FALSE"
"_5.4.2.4","5.4.2.4 Note 2: The change of ...","4","FALSE"
