"ID","Label","Level","Implement"
"_6","6 System Requirements Sp...","1","FALSE"
"_6.1","6.1 Modification History","2","FALSE"
"_6.1_BrLeft_2_BrRight_","6.1[2]","2","FALSE"
"_6.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","6.1[2].[t]*","3","FALSE"
"_6.2","6.2 Table of Contents","2","FALSE"
"_6.3","6.3 Scope","2","FALSE"
"_6.3.1","6.3.1 PLACEHOLDER REQUIREMEN...","3","FALSE"
"_6.3.1.1","6.3.1.1 The chapter defines th...","4","FALSE"
"_6.3.1.2","6.3.1.2 By default, all the cl...","4","TRUE"
"_6.4","6.4 Envelope of legally op...","2","FALSE"
"_6.4.1","6.4.1 Incompatible versions","3","FALSE"
"_6.4.1.1","6.4.1.1 The system version num...","4","TRUE"
"_6.4.2","6.4.2 Compatible versions","3","FALSE"
"_6.4.2.1","6.4.2.1 Within system version ...","4","TRUE"
"_6.4.2.2","6.4.2.2 Within system version ...","4","TRUE"
"_6.5","6.5 Trackside requirements...","2","FALSE"
"_6.5.1","6.5.1 Trackside areas operat...","3","FALSE"
"_6.5.1.1","6.5.1.1 Introduction","4","FALSE"
"_6.5.1.1.1","6.5.1.1.1 The section is applica...","5","TRUE"
"_6.5.1.1.2","6.5.1.1.2 Within a trackside inf...","5","TRUE"
"_6.5.1.1.3","6.5.1.1.3 Within a trackside are...","5","TRUE"
"_6.5.1.1.3.1","6.5.1.1.3.1 Note: this configurati...","6","FALSE"
"_6.5.1.2","6.5.1.2 Exceptions to chapter 3","4","FALSE"
"_6.5.1.2.1","6.5.1.2.1 Section 3.6.2.4 shall ...","5","TRUE"
"_6.5.1.2.2","6.5.1.2.2 Clause 3.7.1.1 b) shal...","5","TRUE"
"_6.5.1.2.3","6.5.1.2.3 In clause 3.7.1.1 c), ...","5","TRUE"
"_6.5.1.2.4","6.5.1.2.4 In clause 3.7.2.4, the...","5","TRUE"
"_6.5.1.2.5","6.5.1.2.5 In clause 3.7.2.4, the...","5","TRUE"
"_6.5.1.2.6","6.5.1.2.6 Clause 3.9.3.2 shall b...","5","TRUE"
"_6.5.1.2.7","6.5.1.2.7 Clause 3.9.3.8.1 shall...","5","TRUE"
"_6.5.1.2.8","6.5.1.2.8 Clause 3.11.3.2.2 c) s...","5","TRUE"
"_6.5.1.2.9","6.5.1.2.9 Clause 3.11.3.2.3.1 sh...","5","TRUE"
"_6.5.1.2.10","6.5.1.2.10 Clause 3.11.5.12 shall...","5","TRUE"
"_6.5.1.2.11","6.5.1.2.11 Clauses 3.11.9.1, 3.12...","5","TRUE"
"_6.5.1.2.12","6.5.1.2.12 Clauses 3.11.11.1, 3.1...","5","TRUE"
"_6.5.1.2.13","6.5.1.2.13 Clause 3.12.3.4.3.2 sh...","5","TRUE"
"_6.5.1.2.14","6.5.1.2.14 Clauses 3.12.3.1.11 an...","5","TRUE"
"_6.5.1.2.15","6.5.1.2.15 Clause 3.12.4.1 shall ...","5","TRUE"
"_6.5.1.2.16","6.5.1.2.16 Clause 3.12.4.2 shall ...","5","FALSE"
"_6.5.1.2.17","6.5.1.2.17 Clause 3.15.1.2.3.1 p)...","5","TRUE"
"_6.5.1.3","6.5.1.3 Exceptions to chapter 4","4","FALSE"
"_6.5.1.3.1","6.5.1.3.1 Void.","5","FALSE"
"_6.5.1.4","6.5.1.4 Exceptions to chapter 5","4","FALSE"
"_6.5.1.4.1","6.5.1.4.1 Void.","5","FALSE"
"_6.5.1.5","6.5.1.5 Exceptions to chapter 7","4","FALSE"
"_6.5.1.5.1","6.5.1.5.1 Clause 7.3.3.5 shall b...","5","TRUE"
"_6.5.1.5.2","6.5.1.5.2 The table 7.4.1.1 shal...","5","TRUE"
"_6.5.1.5.2_BrLeft_2_BrRight_","6.5.1.5.2[2]","5","FALSE"
"_6.5.1.5.2_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","6.5.1.5.2[2].[t]*","6","FALSE"
"_6.5.1.5.2_BrLeft_3_BrRight_","6.5.1.5.2[3] {1}Note: used on lines...","5","FALSE"
"_6.5.1.5.3","6.5.1.5.3 Section 7.4.2.0 (Packe...","5","TRUE"
"_6.5.1.5.4","6.5.1.5.4 Table 7.4.2.1.1 (Packe...","5","TRUE"
"_6.5.1.5.4_BrLeft_2_BrRight_","6.5.1.5.4[2]","5","FALSE"
